product_id,product_name,category,price
P00001,HP Laptop 15,Electronics,450000
P00002,Dell Inspiron 14,Electronics,520000
P00003,iPhone 13,Electronics,780000
P00004,Samsung Galaxy A54,Electronics,320000
P00005,Logitech Mouse M185,Accessories,12000
P00006,Wireless Keyboard,Accessories,25000
P00007,USB-C Charger 65W,Accessories,18000
P00008,Sony Headphones WH-CH520,Electronics,85000
P00009,Canon DSLR EOS 2000D,Electronics,600000
P00010,Apple AirPods Pro,Electronics,350000
P00011,Rice 5kg,Groceries,8500
P00012,Indomie Carton,Groceries,14500
P00013,Sunflower Oil 1L,Groceries,7200
P00014,Sugar 1kg,Groceries,1500
P00015,Notebook A4,Stationery,1200
P00016,BIC Pen Pack,Stationery,800
P00017,School Backpack,Fashion,25000
P00018,Nike Sneakers,Fashion,95000
P00019,Men T-Shirt,Fashion,7000
P00020,Water Bottle 1L,Home,5000
P00010,Apple AirPods Pro,Electronics,350000
P00003,iPhone 13,Electronics,780000
P00021,iPhone 13,Electronics,780000
P00022,USB-C Charger 65W,Accessories,18000
P00023,Rice 5kg,Groceries,8500
P00201,Xiaomi A5,Electronics,1200000
P00202,Tecno Gen 3 A4,Electronics,195000
P00203,Nokia V3,Electronics,1200000
P00204,Nokia Digital 100-pack,Electronics,225000
P00205,Infinix Basic 50-pack,Electronics,125000
P00206,Realme Standard Set of 6,Electronics,125000
P00207,Xiaomi Max A5,Electronics,195000
P00208,Realme 4K 10kg,Electronics,85000
P00209,Nokia 250g,Electronics,285000
P00210,Xiaomi Ultra A4,Electronics,85000
P00211,Tecno Gen 2,Electronics,125000
P00212,Itel Gen 3,Electronics,380000
P00213,Motorola Lite 50-pack,Electronics,680000
P00214,Motorola Mini 500g,Electronics,85000
P00215,Nokia Digital 500ml,Electronics,85000
P00216,Motorola Plus 500g,Electronics,195000
P00217,iPhone,Electronics,680000
P00218,Phone Mini 500g,Electronics,1200000
P00219,Nokia Standard 1kg,Electronics,165000
P00220,Realme 4K,Electronics,920000
P00221,Infinix,Electronics,225000
P00222,Xiaomi Standard 1.5L,Electronics,480000
P00223,Phone Plus,Electronics,320000
P00224,Xiaomi Smart A4,Electronics,680000
P00225,Xiaomi Max 1.5L,Electronics,780000
P00226,Infinix 4K,Electronics,225000
P00227,Realme Basic 500ml,Electronics,195000
P00228,Tecno Max Set of 4,Electronics,165000
P00229,Motorola V2,Electronics,125000
P00230,iPhone Gen 3 A4,Electronics,680000
P00231,Itel Max 1L,Electronics,780000
P00232,Infinix Pro,Electronics,195000
P00233,Samsung 4K,Electronics,920000
P00234,Phone 2025,Electronics,320000
P00235,Realme Digital 12-pack,Electronics,780000
P00236,Xiaomi Basic 2L,Electronics,195000
P00237,Xiaomi Standard,Electronics,195000
P00238,Motorola Digital 500g,Electronics,920000
P00239,Nokia 2025,Electronics,780000
P00240,iPhone Ultra 100-pack,Electronics,480000
P00241,iPhone Gen 2 1kg,Electronics,380000
P00242,Nokia Premium 5kg,Electronics,780000
P00243,Motorola Smart,Electronics,285000
P00244,Phone 1kg,Electronics,85000
P00245,Infinix V2 50-pack,Electronics,1200000
P00246,Infinix Digital,Electronics,125000
P00247,Nokia 4K 500g,Electronics,125000
P00248,Realme Ultra A4,Electronics,85000
P00249,Itel 2025 500g,Electronics,165000
P00250,Realme V2,Electronics,680000
P00251,Infinix Basic,Electronics,780000
P00252,iPhone Digital,Electronics,920000
P00253,Motorola Premium,Electronics,380000
P00254,Infinix Gen 2 Set of 4,Electronics,920000
P00255,Nokia,Electronics,380000
P00256,Xiaomi Premium,Electronics,480000
P00257,Motorola 4K,Electronics,225000
P00258,Xiaomi Plus,Electronics,165000
P00259,Motorola Gen 3 24-pack,Electronics,165000
P00260,Motorola V3 50-pack,Electronics,225000
P00261,Nokia Set of 4,Electronics,320000
P00262,Xiaomi Plus 500ml,Electronics,225000
P00263,Phone V2 A5,Electronics,920000
P00264,Infinix Wireless A5,Electronics,680000
P00265,Realme 2024 250g,Electronics,920000
P00266,iPhone Max,Electronics,285000
P00267,Nokia Premium 1L,Electronics,780000
P00268,Motorola Lite 2L,Electronics,85000
P00269,iPhone Pro 2kg,Electronics,125000
P00270,Phone V2,Electronics,125000
P00271,Xiaomi Plus 2L,Electronics,680000
P00272,iPhone Premium,Electronics,920000
P00273,Samsung V2 500ml,Electronics,165000
P00274,Realme 2025 24-pack,Electronics,480000
P00275,Tecno Standard,Electronics,320000
P00276,Samsung A4,Electronics,285000
P00277,Phone Plus Set of 6,Electronics,195000
P00278,Itel Elite,Electronics,125000
P00279,Tecno Pro,Electronics,125000
P00280,Itel 360 5kg,Electronics,285000
