order_id,customer_id,product_id,quantity,order_date
O000001,C00001,P00003,1,2026-02-01
O000002,C00002,P00004,2,2026-02-10
O000003,C00003,P00001,1,2026-02-20
O000004,C00004,P00009,1,2026-03-05
O000005,C00005,P00011,3,2026-03-18
O000006,C00006,P00012,2,2026-03-25
O000007,C00007,P00018,1,2026-04-07
O000008,C00008,P00002,1,2026-04-12
O000009,C00009,P00007,2,2026-04-20
O000010,C00010,P00016,5,2026-05-03
O000011,C00011,P00015,4,2026-05-12
O000012,C00012,P00013,2,2026-05-22
O000013,C00013,P00005,1,2026-06-02
O000014,C00014,P00006,1,2026-06-10
O000015,C00015,P00019,3,2026-06-18
O000016,C00016,P00010,1,2026-07-02
O000017,C00017,P00020,2,2026-07-10
O000018,C00018,P00008,1,2026-07-16
O000019,C00019,P00014,6,2026-08-05
O000020,C00020,P00001,1,2026-08-22
O000021,C08733,P01624,2,2023-08-17
O000022,C06508,P09859,1,2025-06-18
O000023,C05643,P07260,3,2026-06-09
O000024,C10941,P02403,4,2026-07-10
O000025,C02975,P05254,3,2025-07-23
O000026,C06659,P08681,1,2023-10-06
O000027,C05402,P07857,3,2025-06-25
O000028,C05839,P01368,1,2024-10-25
O000029,C04562,P07029,1,2025-10-18
O000030,C10736,P07094,8,2023-08-01
O000031,C03555,P07284,5,2025-06-06
O000032,C02416,P04847,5,2026-04-23
O000033,C04514,P04543,2,2024-01-11
O000034,C08168,P02390,2,2024-10-22
O000035,C10925,P08145,2,2026-04-17
O000036,C09571,P08929,4,2025-10-19
O000037,C05119,P01279,1,2024-08-07
O000038,C08658,P09877,5,2024-02-19
O000039,C11755,P03821,2,2024-03-05
O000040,C10107,P09450,5,2025-06-02
O000041,C00492,P01274,2,2024-07-10
O000042,C08070,P02032,2,2026-03-29
O000043,C09395,P07686,2,2023-06-04
O000044,C09426,P04412,7,2024-07-13
O000045,C05377,P06136,10,2026-06-17
O000046,C06431,P01462,1,2026-06-10
O000047,C07442,P07609,5,2023-06-22
O000048,C08326,P04788,1,2023-10-19
O000049,C06232,P04305,5,2024-10-28
O000050,C04045,P06107,1,2026-05-09
O000051,C03620,P03031,1,2025-08-05
O000052,C06645,P09793,4,2024-01-26
O000053,C11398,P01142,2,2025-07-20
O000054,C02957,P02129,2,2024-07-25
O000055,C05525,P03800,1,2025-06-10
O000056,C01510,P06763,3,2025-08-17
O000057,C04220,P09559,3,2026-08-02
O000058,C11607,P10168,1,2026-08-09
O000059,C02668,P02897,2,2026-04-30
O000060,C01638,P08650,5,2024-12-26
O000061,C05144,P04501,5,2023-04-15
O000062,C00910,P06991,7,2026-02-18
O000063,C08669,P08116,8,2023-01-10
O000064,C10242,P02478,5,2025-05-04
O000065,C10695,P02293,1,2024-12-08
O000066,C06691,P04211,1,2025-03-11
O000067,C04242,P00961,4,2025-07-15
O000068,C06685,P02578,4,2023-11-26
O000069,C07261,P01571,7,2023-11-23
O000070,C09137,P09182,1,2025-04-20
O000071,C04008,P02187,1,2026-03-09
O000072,C06649,P09122,2,2023-12-20
O000073,C06124,P05087,1,2025-10-06
O000074,C04133,P09006,7,2025-12-21
O000075,C11837,P01378,8,2025-04-30
O000076,C08317,P02661,7,2024-07-25
O000077,C03536,P02851,5,2023-07-07
O000078,C02210,P07740,2,2023-08-20
O000079,C07458,P07775,1,2023-12-11
O000080,C11103,P08063,2,2026-08-06
O000081,C04338,P03277,2,2026-02-17
O000082,C07706,P02798,1,2025-08-02
O000083,C05722,P08386,4,2024-07-12
O000084,C00408,P06439,2,2023-04-28
O000085,C11862,P05607,2,2026-03-16
O000086,C10456,P06233,1,2025-05-25
O000087,C04877,P07404,1,2026-06-05
O000088,C10374,P04493,2,2026-02-11
O000089,C07637,P05719,1,2024-07-07
O000090,C00587,P08088,3,2026-07-04
O000091,C03542,P03125,2,2024-08-29
